sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
76,ok,1769521223.396476507,1769521223.397096872,2026-01-27T15:40:23.396477,2026-01-27T15:40:23.397097,620.37,64,192.168.10.30,5005,
77,ok,1769521223.399982929,1769521223.400640488,2026-01-27T15:40:23.399983,2026-01-27T15:40:23.400640,657.56,64,192.168.10.30,5005,
78,ok,1769521223.403526306,1769521223.404137611,2026-01-27T15:40:23.403526,2026-01-27T15:40:23.404138,611.31,64,192.168.10.30,5005,
79,ok,1769521223.407072544,1769521223.407791615,2026-01-27T15:40:23.407073,2026-01-27T15:40:23.407792,719.07,64,192.168.10.30,5005,
80,ok,1769521223.410701513,1769521223.411344528,2026-01-27T15:40:23.410702,2026-01-27T15:40:23.411345,643.01,64,192.168.10.30,5005,
81,ok,1769521223.414170980,1769521223.414740801,2026-01-27T15:40:23.414171,2026-01-27T15:40:23.414741,569.82,64,192.168.10.30,5005,
82,ok,1769521223.417701483,1769521223.418270826,2026-01-27T15:40:23.417701,2026-01-27T15:40:23.418271,569.34,64,192.168.10.30,5005,
83,ok,1769521223.421040058,1769521223.421643734,2026-01-27T15:40:23.421040,2026-01-27T15:40:23.421644,603.68,64,192.168.10.30,5005,
84,ok,1769521223.424475193,1769521223.425094604,2026-01-27T15:40:23.424475,2026-01-27T15:40:23.425095,619.41,64,192.168.10.30,5005,
85,ok,1769521223.427931309,1769521223.428600550,2026-01-27T15:40:23.427931,2026-01-27T15:40:23.428601,669.24,64,192.168.10.30,5005,
86,ok,1769521223.431472778,1769521223.432150841,2026-01-27T15:40:23.431473,2026-01-27T15:40:23.432151,678.06,64,192.168.10.30,5005,
87,ok,1769521223.435175657,1769521223.436034918,2026-01-27T15:40:23.435176,2026-01-27T15:40:23.436035,859.26,64,192.168.10.30,5005,
88,ok,1769521223.439041853,1769521223.439724445,2026-01-27T15:40:23.439042,2026-01-27T15:40:23.439724,682.59,64,192.168.10.30,5005,
89,ok,1769521223.442642689,1769521223.443315506,2026-01-27T15:40:23.442643,2026-01-27T15:40:23.443316,672.82,64,192.168.10.30,5005,
90,ok,1769521223.446292877,1769521223.447009087,2026-01-27T15:40:23.446293,2026-01-27T15:40:23.447009,716.21,64,192.168.10.30,5005,
91,ok,1769521223.449974775,1769521223.450638771,2026-01-27T15:40:23.449975,2026-01-27T15:40:23.450639,664.00,64,192.168.10.30,5005,
92,ok,1769521223.453501701,1769521223.454102516,2026-01-27T15:40:23.453502,2026-01-27T15:40:23.454103,600.81,64,192.168.10.30,5005,
93,ok,1769521223.456979990,1769521223.457598686,2026-01-27T15:40:23.456980,2026-01-27T15:40:23.457599,618.70,64,192.168.10.30,5005,
94,ok,1769521223.460438013,1769521223.461009502,2026-01-27T15:40:23.460438,2026-01-27T15:40:23.461010,571.49,64,192.168.10.30,5005,
95,ok,1769521223.463833094,1769521223.464396000,2026-01-27T15:40:23.463833,2026-01-27T15:40:23.464396,562.91,64,192.168.10.30,5005,
